_id,spotify_features.danceability,spotify_features.energy,spotify_features.key,spotify_features.loudness,spotify_features.mode,spotify_features.speechiness,spotify_features.acousticness,spotify_features.instrumentalness,spotify_features.liveness,spotify_features.valence,spotify_features.tempo,spotify_features.type,spotify_features.duration_ms,spotify_features.time_signature
5f6a623b61d3b237bb01417b,0.473,0.872,4,-3.534,0,0.0504,0.000108,0.724,0.18,0.404,165.896,audio_features,208333,4
5f6a623b61d3b237bb01417c,0.558,0.767,9,-3.429,0,0.031,0.00182,0.000334,0.135,0.449,124.994,audio_features,249893,4
5f6a623b61d3b237bb01417d,0.352,0.909,2,-3.404,1,0.0477,0.000391,0.00224,0.371,0.448,184.979,audio_features,170453,4
5f6a623b61d3b237bb01417e,0.5,0.704,7,-5.159,1,0.0396,0.000443,0.167,0.421,0.175,80.001,audio_features,240987,4
5f6a623b61d3b237bb01417f,0.463,0.797,2,-4.064,1,0.0354,0.000313,0.0361,0.0839,0.495,129.113,audio_features,218760,3
5f6a623b61d3b237bb014180,0.368,0.997,2,-3.405,1,0.129,0.00548,0.0009,0.142,0.527,168.837,audio_features,89667,4
5f6a623b61d3b237bb014181,0.466,0.99,4,-2.122,1,0.0556,0.00082,0.0307,0.576,0.765,146.728,audio_features,99027,4
5f6a623b61d3b237bb014182,0.36,0.991,5,-3.831,1,0.0712,0.00344,0.00000174,0.106,0.739,155.538,audio_features,133667,4
5f6a623b61d3b237bb014183,0.536,0.991,2,-1.904,0,0.12,0.0751,0.00172,0.105,0.831,145.533,audio_features,72560,4
5f6a623b61d3b237bb014184,0.322,0.961,9,-3.272,1,0.0853,0.00303,0.00377,0.104,0.605,149.304,audio_features,106773,4
5f6a623b61d3b237bb014185,0.33,0.992,11,-3.276,0,0.138,0.000821,0.0276,0.199,0.681,175.532,audio_features,128107,4
5f6a623b61d3b237bb014186,0.388,0.979,0,-3.377,1,0.127,0.00618,0.00631,0.0627,0.609,169.541,audio_features,76360,4
5f6a623b61d3b237bb014187,0.279,0.992,9,-2.94,1,0.0985,0.0304,0.0000887,0.179,0.434,154.257,audio_features,124973,4
5f6a623b61d3b237bb014188,0.402,0.993,9,-3.097,1,0.3,0.0305,0.00000637,0.0889,0.209,149.392,audio_features,111160,4
5f6a623b61d3b237bb014189,0.387,0.994,7,-3.759,1,0.32,0.0734,0.00039,0.341,0.367,166.599,audio_features,132267,4
5f6a623b61d3b237bb01418a,0.374,0.988,9,-3.959,0,0.0668,0.00312,0.00000167,0.0976,0.331,148.09,audio_features,147133,4
5f6a623b61d3b237bb01418b,0.291,0.987,9,-2.987,1,0.105,0.00368,0.00335,0.335,0.688,161.197,audio_features,126800,4
5f6a623b61d3b237bb01418c,,,,,,,,,,,,,,
5f6a623b61d3b237bb01418d,,,,,,,,,,,,,,
5f6a623b61d3b237bb01418e,0.323,0.922,11,-7.731,0,0.0488,0.000372,0.00218,0.527,0.492,139.819,audio_features,93427,4
5f6a623b61d3b237bb01418f,,,,,,,,,,,,,,
5f6a623b61d3b237bb014190,0.288,0.994,4,-5.266,0,0.15,0.000175,0.0522,0.0414,0.305,170.728,audio_features,168573,4
5f6a623b61d3b237bb014191,0.422,0.987,4,-5.687,0,0.122,0.00232,0.00662,0.38,0.354,96.124,audio_features,241720,4
5f6a623b61d3b237bb014192,0.23,0.991,11,-5.102,0,0.0696,0.0000857,0.00163,0.44,0.488,158.247,audio_features,149907,4
5f6a623b61d3b237bb014193,0.468,0.823,2,-6.612,1,0.0322,0.000927,0.000202,0.358,0.33,150.038,audio_features,278173,4
5f6a623b61d3b237bb014194,0.421,0.951,9,-6,1,0.136,0.00208,0.00147,0.0629,0.179,121.546,audio_features,207787,4
5f6a623b61d3b237bb014195,0.311,0.996,2,-5.48,1,0.107,0.000125,0.00174,0.0675,0.424,160.186,audio_features,136413,4
5f6a623b61d3b237bb014196,0.386,0.988,5,-4.923,1,0.108,0.00261,0,0.132,0.386,104.907,audio_features,182693,4
5f6a623b61d3b237bb014197,0.354,0.965,9,-5.987,1,0.101,0.000588,0.039,0.391,0.556,111.21,audio_features,132933,4
5f6a623b61d3b237bb014198,0.278,0.975,5,-5.973,1,0.125,0.000771,0.00355,0.0888,0.368,82.716,audio_features,240507,4
5f6a623b61d3b237bb014199,,,,,,,,,,,,,,
5f6a623b61d3b237bb01419a,0.469,0.601,11,-5.79,1,0.0416,0.0961,0,0.11,0.396,110.756,audio_features,239360,4
5f6a623b61d3b237bb01419b,,,,,,,,,,,,,,
5f6a623b61d3b237bb01419c,0.491,0.527,10,-8.267,0,0.0349,0.000398,0.000033,0.1,0.503,90.695,audio_features,236733,4
5f6a623b61d3b237bb01419d,0.403,0.721,1,-5.007,1,0.0353,0.00813,0,0.079,0.351,141.324,audio_features,313973,4
5f6a623b61d3b237bb01419e,0.222,0.911,4,-6.006,1,0.094,0.0000697,0.0285,0.132,0.278,193.886,audio_features,225267,3
5f6a623b61d3b237bb01419f,0.258,0.913,4,-5.052,1,0.0757,0.000696,0.000181,0.367,0.236,171.79,audio_features,226027,4
5f6a623b61d3b237bb0141a0,0.539,0.789,1,-5.454,1,0.0254,0.00039,0.00781,0.288,0.537,95.022,audio_features,226173,4
5f6a623b61d3b237bb0141a1,0.542,0.915,1,-4.457,1,0.0959,0.000983,0.00211,0.0716,0.845,95.138,audio_features,176640,4
5f6a623b61d3b237bb0141a2,0.315,0.967,0,-3.584,0,0.0496,0.000106,0.0000703,0.299,0.889,215.681,audio_features,164360,4
5f6a623b61d3b237bb0141a3,0.46,0.832,11,-5.279,1,0.0406,0.000353,0.00195,0.0547,0.0826,124.377,audio_features,271373,4
5f6a623b61d3b237bb0141a4,0.181,0.95,8,-3.514,0,0.133,0.000239,0.00000116,0.233,0.44,184.685,audio_features,260760,4
5f6a623b61d3b237bb0141a5,0.263,0.962,1,-3.56,1,0.174,0.0000836,0.257,0.301,0.394,149.266,audio_features,163600,4
5f6a623b61d3b237bb0141a6,0.519,0.969,1,-3.699,1,0.043,0.00012,0.00000145,0.321,0.772,122.191,audio_features,207440,4
5f6a623b61d3b237bb0141a7,0.399,0.839,1,-4.234,1,0.0397,0.0000136,0.00345,0.102,0.353,158.199,audio_features,223307,4
5f6a623b61d3b237bb0141a8,0.444,0.961,8,-3.535,1,0.0719,0.0000567,0.000122,0.226,0.398,124.625,audio_features,211893,4
5f6a623b61d3b237bb0141a9,0.37,0.753,1,-5.608,1,0.0326,0.000279,0.00115,0.0858,0.211,154.259,audio_features,233933,4
5f6a623b61d3b237bb0141aa,0.389,0.905,8,-4.494,0,0.0354,0.00844,0.00016,0.124,0.672,121.836,audio_features,190493,4
5f6a623b61d3b237bb0141ab,,,,,,,,,,,,,,
5f6a623b61d3b237bb0141ac,,,,,,,,,,,,,,
5f6a623b61d3b237bb0141ad,0.389,0.905,8,-4.494,0,0.0354,0.00844,0.00016,0.124,0.672,121.836,audio_features,190493,4
5f6a623b61d3b237bb0141ae,,,,,,,,,,,,,,
5f6a623b61d3b237bb0141af,,,,,,,,,,,,,,
5f6a623b61d3b237bb0141b0,0.384,0.676,3,-6.417,0,0.052,0.0046,0.0622,0.137,0.256,67.693,audio_features,176507,4
5f6a623b61d3b237bb0141b1,0.497,0.82,3,-5.971,0,0.0307,0.00146,0.0014,0.104,0.599,89.012,audio_features,211040,4
5f6a623b61d3b237bb0141b2,0.399,0.896,8,-4.503,0,0.0414,0.00038,0.00114,0.33,0.22,116.959,audio_features,254680,4
5f6a623b61d3b237bb0141b3,0.412,0.839,3,-4.543,0,0.0369,0.00258,0.0000071,0.333,0.37,130.09,audio_features,250707,1
5f6a623b61d3b237bb0141b4,0.555,0.98,3,-2.849,0,0.0947,0.00291,0,0.279,0.643,114.078,audio_features,146667,4
5f6a623b61d3b237bb0141b5,0.389,0.905,8,-4.494,0,0.0354,0.00844,0.00016,0.124,0.672,121.836,audio_features,190493,4
5f6a623b61d3b237bb0141b6,0.285,0.844,8,-4.893,0,0.0632,0.00624,0.0000152,0.183,0.0798,159.076,audio_features,239173,4
5f6a623b61d3b237bb0141b7,0.359,0.729,6,-4.61,0,0.0311,0.00165,0.0000132,0.0747,0.0862,93.756,audio_features,327453,4
5f6a623b61d3b237bb0141b8,0.434,0.924,1,-3.379,0,0.0411,0.0064,0,0.342,0.497,101.862,audio_features,237373,4
5f6a623b61d3b237bb0141b9,0.532,0.906,10,-4.725,0,0.0748,0.00126,0.00000563,0.0826,0.613,123.273,audio_features,250360,4
